         9182704 function calls (8807876 primitive calls) in 16.261 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    24565    0.013    0.000    0.013    0.000 C:\Python312\Lib\threading.py:1234(daemon)
     8171    0.013    0.000    0.013    0.000 C:\Python312\Lib\weakref.py:427(__setitem__)
     8171    0.013    0.000    0.013    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_additional_thread_info_regular.py:61(__init__)
    16550    0.008    0.000    0.013    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_constants.py:442(__exit__)
    49078    0.012    0.000    0.012    0.000 {built-in method _thread.get_ident}
     2774    0.008    0.000    0.012    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\lch\__init__.py:13(lab_to_lch)
     8171    0.009    0.000    0.012    0.000 C:\Python312\Lib\threading.py:1036(_set_ident)
     1802    0.005    0.000    0.012    0.000 {method 'all' of 'numpy.generic' objects}
    40746    0.012    0.000    0.012    0.000 {built-in method time.monotonic}
     1802    0.007    0.000    0.012    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\shape_base.py:22(atleast_1d)
    32710    0.011    0.000    0.011    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_constants.py:778(get_protocol)
      901    0.007    0.000    0.011    0.000 C:\Python312\Lib\concurrent\futures\_base.py:147(__enter__)
      901    0.003    0.000    0.011    0.000 C:\Python312\Lib\concurrent\futures\_base.py:77(__init__)
    48981    0.011    0.000    0.011    0.000 {built-in method math.sin}
    41707    0.010    0.000    0.010    0.000 {method 'append' of 'collections.deque' objects}
    32832    0.010    0.000    0.010    0.000 {method 'update' of 'dict' objects}
    26475    0.010    0.000    0.010    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\color.py:327(_is_this_color)
     8171    0.006    0.000    0.010    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_constants.py:558(get_pid)
    24513    0.010    0.000    0.010    0.000 {method 'rfind' of 'str' objects}
     8171    0.010    0.000    0.010    0.000 C:\Python312\Lib\threading.py:1354(_make_invoke_excepthook)
    20288    0.009    0.000    0.009    0.000 {method 'add' of 'set' objects}
    21779    0.009    0.000    0.009    0.000 {method 'endswith' of 'str' objects}
    20840    0.009    0.000    0.009    0.000 C:\Python312\Lib\concurrent\futures\_base.py:223(<genexpr>)
    17621    0.008    0.000    0.008    0.000 {method 'startswith' of 'str' objects}
    25350    0.008    0.000    0.008    0.000 {method 'remove' of 'collections.deque' objects}
    21624    0.008    0.000    0.008    0.000 C:\Python312\Lib\concurrent\futures\thread.py:47(__init__)
     1802    0.008    0.000    0.008    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\lib\_stride_tricks_impl.py:427(_broadcast_shape)
    21624    0.008    0.000    0.008    0.000 C:\Python312\Lib\concurrent\futures\_base.py:337(_invoke_callbacks)
    34136    0.008    0.000    0.008    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\__init__.py:203(is_polar)
     1802    0.001    0.000    0.008    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\lib\_function_base_impl.py:1989(place)
    16342    0.008    0.000    0.008    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\_debug_adapter\pydevd_schema.py:17196(__init__)
      901    0.002    0.000    0.007    0.000 C:\Python312\Lib\concurrent\futures\_base.py:61(__init__)
    16436    0.007    0.000    0.007    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_daemon_thread.py:32(py_db)
     1802    0.004    0.000    0.007    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\_ufunc_config.py:441(__enter__)
      901    0.005    0.000    0.007    0.000 C:\Python312\Lib\concurrent\futures\_base.py:151(__exit__)
     1802    0.007    0.000    0.007    0.000 {built-in method numpy._core._multiarray_umath._place}
    21624    0.007    0.000    0.007    0.000 C:\Python312\Lib\concurrent\futures\_base.py:398(__get_result)
       52    0.002    0.000    0.007    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1681(process_internal_commands)
     1802    0.001    0.000    0.007    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\_methods.py:68(_all)
     1802    0.005    0.000    0.007    0.000 {built-in method builtins.any}
      901    0.003    0.000    0.007    0.000 C:\Python312\Lib\threading.py:457(__init__)
     1537    0.004    0.000    0.006    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\__init__.py:31(hue_index)
    11645    0.006    0.000    0.006    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\util.py:33(xy_to_xyz)
      655    0.004    0.000    0.006    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\__init__.py:135(indexes)
       31    0.000    0.000    0.006    0.000 C:\Python312\Lib\selectors.py:319(select)
     8171    0.004    0.000    0.006    0.000 C:\Python312\Lib\threading.py:1040(_set_native_id)
     8171    0.006    0.000    0.006    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_constants.py:793(get_global_debugger)
     8171    0.005    0.000    0.005    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd_tracing.py:125(_load_python_helper_lib)
    16342    0.005    0.000    0.005    0.000 {method 'pop' of 'dict' objects}
      901    0.001    0.000    0.005    0.000 C:\Python312\Lib\concurrent\futures\_base.py:144(__init__)
    16358    0.005    0.000    0.005    0.000 {method 'join' of 'str' objects}
    16368    0.005    0.000    0.005    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1441(dap_messages_listeners)
    21624    0.005    0.000    0.005    0.000 {method '_is_owned' of '_thread.RLock' objects}
    25229    0.005    0.000    0.005    0.000 {built-in method nt.fspath}
    16352    0.005    0.000    0.005    0.000 {method 'popleft' of 'collections.deque' objects}
      901    0.005    0.000    0.005    0.000 {built-in method builtins.sorted}
       31    0.000    0.000    0.004    0.000 C:\Python312\Lib\selectors.py:313(_select)
     3502    0.003    0.000    0.004    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\__init__.py:208(get_channel_index)
    22618    0.004    0.000    0.004    0.000 {method 'pop' of 'list' objects}
    12476    0.004    0.000    0.004    0.000 {built-in method math.atan2}
    23309    0.004    0.000    0.004    0.000 {method 'remove' of 'set' objects}
    21624    0.004    0.000    0.004    0.000 {method 'remove' of 'list' objects}
      902    0.003    0.000    0.004    0.000 C:\Python312\Lib\threading.py:627(clear)
     8705    0.004    0.000    0.004    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_constants.py:626(get_thread_id)
    16342    0.004    0.000    0.004    0.000 {built-in method builtins.id}
    16342    0.004    0.000    0.004    0.000 C:\Python312\Lib\threading.py:601(is_set)
     8171    0.004    0.000    0.004    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\pydev_log.py:216(info)
      260    0.001    0.000    0.004    0.000 C:\Python312\Lib\ntpath.py:275(dirname)
        8    0.000    0.000    0.004    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\werkzeug\_reloader.py:65(_find_stat_paths)
       18    0.000    0.000    0.004    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\color.py:1166(filter)
    21624    0.003    0.000    0.003    0.000 {method 'acquire' of '_thread.RLock' objects}
       18    0.000    0.000    0.003    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\filters\__init__.py:23(filters)
     4851    0.002    0.000    0.003    0.000 C:\Python312\Lib\abc.py:117(__instancecheck__)
     8171    0.003    0.000    0.003    0.000 {built-in method nt.getpid}
    12785    0.003    0.000    0.003    0.000 {method 'is_dir' of 'nt.DirEntry' objects}
     8171    0.003    0.000    0.003    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\pydev_monkey.py:1084(__init__)
     8194    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
        9    0.000    0.000    0.003    0.000 {method 'update' of 'set' objects}
       16    0.000    0.000    0.003    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_process_net_command_json.py:128(process_net_command_json)
     1802    0.001    0.000    0.003    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\_ufunc_config.py:457(__exit__)
     3607    0.003    0.000    0.003    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     7208    0.003    0.000    0.003    0.000 {built-in method numpy.array}
      901    0.003    0.000    0.003    0.000 {built-in method nt.cpu_count}
    20154    0.003    0.000    0.003    0.000 {built-in method _operator.truediv}
    11645    0.003    0.000    0.003    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\__init__.py:242(white)
     8171    0.002    0.000    0.002    0.000 {built-in method sys._getframe}
    10839    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
     8171    0.002    0.000    0.002    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\pydev_monkey.py:1242(get_original_start_new_thread)
       16    0.000    0.000    0.002    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_process_net_command_json.py:271(on_threads_request)
       16    0.000    0.000    0.002    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_api.py:146(list_threads)
        8    0.001    0.000    0.002    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\werkzeug\_reloader.py:294(run_step)
    21624    0.002    0.000    0.002    0.000 {method 'release' of '_thread.RLock' objects}
     1802    0.002    0.000    0.002    0.000 {built-in method numpy.promote_types}
       16    0.000    0.000    0.002    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_net_command_factory_json.py:144(make_list_threads_message)
    14781    0.002    0.000    0.002    0.000 {built-in method _operator.mul}
     2774    0.002    0.000    0.002    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\util.py:181(constrain_hue)
     1802    0.002    0.000    0.002    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\lib\_function_base_impl.py:346(iterable)
     8171    0.002    0.000    0.002    0.000 {built-in method _thread.get_native_id}
      104    0.000    0.000    0.002    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1533(check_output_redirect)
    12476    0.002    0.000    0.002    0.000 {built-in method math.degrees}
       52    0.000    0.000    0.002    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:250(can_exit)
     1804    0.002    0.000    0.002    0.000 {method 'set' of '_contextvars.ContextVar' objects}
     1802    0.002    0.000    0.002    0.000 {built-in method numpy.zeros}
     1804    0.002    0.000    0.002    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
     8171    0.002    0.000    0.002    0.000 {method 'locked' of '_thread.lock' objects}
     1802    0.002    0.000    0.002    0.000 {built-in method numpy.asarray}
     4851    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     1802    0.001    0.000    0.001    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
     3604    0.001    0.000    0.001    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\lib\_stride_tricks_impl.py:355(<genexpr>)
     7558    0.001    0.000    0.001    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\__init__.py:225(normalize)
     3604    0.001    0.000    0.001    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       52    0.000    0.000    0.001    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1381(has_user_threads_alive)
     2119    0.001    0.000    0.001    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\lch\__init__.py:59(is_achromatic)
     1802    0.001    0.000    0.001    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\_ufunc_config.py:431(__init__)
     1802    0.001    0.000    0.001    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\scipy\stats\_distn_infrastructure.py:982(_argcheck)
     1802    0.001    0.000    0.001    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:2127(shape)
      208    0.001    0.000    0.001    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_io.py:205(redirect_stream_to_pydb_io_messages)
     1685    0.001    0.000    0.001    0.000 C:\Python312\Lib\concurrent\futures\_base.py:65(add_result)
       31    0.000    0.000    0.001    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_comm.py:194(_read_line)
       68    0.001    0.000    0.001    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_utils.py:133(get_non_pydevd_threads)
     4851    0.001    0.000    0.001    0.000 {built-in method math.exp}
       18    0.000    0.000    0.001    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\filters\cvd.py:265(filter)
     1802    0.001    0.000    0.001    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\lib\_stride_tricks_impl.py:30(_maybe_view_as_subclass)
     1174    0.001    0.000    0.001    0.000 C:\Python312\Lib\ntpath.py:35(_get_bothseps)
      104    0.000    0.000    0.001    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:2666(_init_stdout_redirect)
     3620    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      107    0.000    0.000    0.001    0.000 C:\Python312\Lib\ntpath.py:596(abspath)
        6    0.000    0.000    0.001    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\filters\cvd.py:231(brettel)
        6    0.000    0.000    0.001    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\filters\cvd.py:127(brettel)
      120    0.001    0.000    0.001    0.000 C:\Python312\Lib\threading.py:1533(enumerate)
     1802    0.001    0.000    0.001    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\scipy\stats\_distn_infrastructure.py:994(_get_support)
     3610    0.001    0.000    0.001    0.000 {built-in method numpy.asanyarray}
     1802    0.001    0.000    0.001    0.000 {method '__exit__' of 'numpy.nditer' objects}
     1802    0.001    0.000    0.001    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:2491(_any_dispatcher)
     1802    0.001    0.000    0.001    0.000 <string>:2(_parse_args)
     1802    0.001    0.000    0.001    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:2123(_shape_dispatcher)
       31    0.001    0.000    0.001    0.000 {built-in method select.select}
     1802    0.001    0.000    0.001    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\lib\_function_base_impl.py:1985(_place_dispatcher)
       16    0.000    0.000    0.001    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_comm.py:144(_from_json)
     1174    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     1802    0.001    0.000    0.001    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:2606(_all_dispatcher)
       16    0.000    0.000    0.000    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\_debug_adapter\pydevd_base_schema.py:116(from_json)
     1802    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\multiarray.py:1153(putmask)
      557    0.000    0.000    0.000    0.000 {built-in method math.isclose}
       18    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\color.py:549(normalize)
        1    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\werkzeug\wrappers\request.py:542(json)
      104    0.000    0.000    0.000    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:2670(_init_stderr_redirect)
     1802    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\werkzeug\wrappers\request.py:576(get_json)
      986    0.000    0.000    0.000    0.000 {method '__exit__' of 'nt.ScandirIterator' objects}
     1802    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\shape_base.py:18(_atleast_1d_dispatcher)
     1802    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\lib\_stride_tricks_impl.py:491(_broadcast_arrays_dispatcher)
       12    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\algebra.py:2461(shape)
    48/12    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\algebra.py:2433(_shape)
      107    0.000    0.000    0.000    0.000 C:\Python312\Lib\ntpath.py:564(normpath)
     1537    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\__init__.py:26(hue_name)
      850    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        6    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\color.py:284(_match)
      655    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\__init__.py:130(names)
       16    0.000    0.000    0.000    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\_debug_adapter\pydevd_schema.py:9537(to_dict)
       12    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\filters\cvd.py:236(vienot)
       17    0.000    0.000    0.000    0.000 C:\Python312\Lib\json\__init__.py:299(loads)
      107    0.000    0.000    0.000    0.000 {built-in method nt._getfullpathname}
       12    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\filters\cvd.py:151(vienot)
       16    0.000    0.000    0.000    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\_debug_adapter\pydevd_schema.py:18717(to_dict)
       52    0.000    0.000    0.000    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_comm.py:416(empty)
        6    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\srgb\css.py:52(match)
        2    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:3913(std)
      901    0.000    0.000    0.000    0.000 C:\Python312\Lib\concurrent\futures\_base.py:643(__enter__)
       15    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\color.py:127(_get_convert_chain)
        1    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\werkzeug\wrappers\request.py:389(get_data)
       15    0.000    0.000    0.000    0.000 {method 'recv' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\_methods.py:225(_std)
      469    0.000    0.000    0.000    0.000 {method 'clear' of 'list' objects}
        6    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\css\parse.py:444(parse_css)
       15    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\convert.py:55(get_convert_chain)
       17    0.000    0.000    0.000    0.000 C:\Python312\Lib\json\decoder.py:332(decode)
      104    0.000    0.000    0.000    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1499(get_internal_queue)
      586    0.000    0.000    0.000    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\pydev_is_thread_alive.py:9(is_thread_alive)
      179    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\lch\__init__.py:50(normalize)
       52    0.000    0.000    0.000    0.000 C:\Python312\Lib\queue.py:97(empty)
      116    0.000    0.000    0.000    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\_debug_adapter\pydevd_schema.py:13389(update_dict_ids_to_dap)
        2    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\_methods.py:153(_var)
        1    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\werkzeug\utils.py:94(__get__)
        2    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:3783(mean)
       16    0.000    0.000    0.000    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\_debug_adapter\pydevd_base_schema.py:88(from_dict)
        1    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\werkzeug\wrappers\request.py:314(stream)
        3    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\function_base.py:25(linspace)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
    36/18    0.000    0.000    0.000    0.000 C:\Python312\Lib\typing.py:3256(__getattribute__)
      116    0.000    0.000    0.000    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\_debug_adapter\pydevd_schema.py:13376(to_dict)
      107    0.000    0.000    0.000    0.000 {built-in method nt._path_normpath}
        1    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\werkzeug\sansio\request.py:526(is_json)
        2    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\_methods.py:119(_mean)
        1    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\werkzeug\sansio\request.py:334(mimetype)
        1    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\werkzeug\wsgi.py:129(get_input_stream)
      255    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      2/1    0.000    0.000    0.000    0.000 {method 'read' of '_io._RawIOBase' objects}
        1    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\werkzeug\sansio\request.py:328(_parse_content_type)
       15    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\convert.py:15(calc_path_to_xyz)
      418    0.000    0.000    0.000    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_constants.py:660(__enter__)
      418    0.000    0.000    0.000    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_constants.py:663(__exit__)
        1    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\flask\json\provider.py:181(loads)
