         9182704 function calls (8807876 primitive calls) in 16.261 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8705    0.038    0.000    0.465    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1626(notify_thread_created)
    16358    0.113    0.000    0.428    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_net_command.py:56(__init__)
     8171    0.080    0.000    0.389    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd_tracing.py:274(set_trace_to_threads)
    16342    0.382    0.000    0.382    0.000 {built-in method _thread.start_new_thread}
     8171    0.036    0.000    0.374    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1651(notify_thread_not_alive)
     1802    0.117    0.000    0.356    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\scipy\stats\_distn_infrastructure.py:2002(pdf)
    21801    0.030    0.000    0.331    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\srgb_linear.py:66(to_base)
    26475    0.089    0.000    0.327    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\color.py:565(_handle_color_input)
   202761    0.277    0.000    0.313    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\algebra.py:726(vdot)
    21801    0.077    0.000    0.301    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\srgb_linear.py:24(lin_srgb_to_xyz)
      994    0.033    0.000    0.296    0.000 {built-in method nt.scandir}
469434/416388    0.130    0.000    0.284    0.000 {built-in method builtins.isinstance}
    21624    0.141    0.000    0.281    0.000 C:\Python312\Lib\concurrent\futures\_base.py:537(set_result)
      886    0.029    0.000    0.278    0.000 {built-in method nt._path_islink}
     8171    0.037    0.000    0.271    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_net_command_factory_json.py:115(make_thread_created_message)
     8171    0.038    0.000    0.257    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_net_command_factory_json.py:135(make_thread_killed_message)
    21624    0.118    0.000    0.238    0.000 C:\Python312\Lib\threading.py:468(acquire)
    78819    0.122    0.000    0.223    0.000 C:\Python312\Lib\threading.py:394(notify)
     8171    0.019    0.000    0.212    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\pydev_monkey.py:1174(pydev_start_new_thread)
    21624    0.056    0.000    0.203    0.000 C:\Python312\Lib\concurrent\futures\_base.py:328(__init__)
    16358    0.021    0.000    0.189    0.000 C:\Python312\Lib\json\__init__.py:183(dumps)
     6718    0.030    0.000    0.184    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\lab\__init__.py:80(from_base)
    68933    0.140    0.000    0.183    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\color.py:889(chromatic_adaptation)
     8171    0.091    0.000    0.180    0.000 C:\Python312\Lib\threading.py:882(__init__)
    31597    0.118    0.000    0.174    0.000 C:\Python312\Lib\threading.py:277(__init__)
   352296    0.134    0.000    0.172    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\__init__.py:214(resolve_channel)
    16358    0.039    0.000    0.168    0.000 C:\Python312\Lib\json\encoder.py:183(encode)
     9856    0.054    0.000    0.167    0.000 C:\Python312\Lib\threading.py:616(set)
    16358    0.015    0.000    0.167    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_comm.py:355(add_command)
    31480    0.069    0.000    0.165    0.000 C:\Python312\Lib\threading.py:424(notify_all)
    26523    0.047    0.000    0.160    0.000 C:\Python312\Lib\typing.py:1175(__instancecheck__)
    16358    0.048    0.000    0.152    0.000 C:\Python312\Lib\queue.py:122(put)
     2424    0.013    0.000    0.151    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\color.py:975(in_gamut)
    21624    0.108    0.000    0.151    0.000 {built-in method builtins.sum}
     6718    0.066    0.000    0.148    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\lab\__init__.py:43(xyz_to_lab)
     8171    0.051    0.000    0.144    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd_tracing.py:47(_internal_set_trace)
   175445    0.094    0.000    0.143    0.000 C:\Python312\Lib\threading.py:299(__enter__)
    14629    0.074    0.000    0.141    0.000 C:\Python312\Lib\threading.py:515(release)
   270589    0.107    0.000    0.138    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\algebra.py:144(clamp)
    39279    0.055    0.000    0.135    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\lch\__init__.py:65(to_base)
    24513    0.064    0.000    0.133    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd_tracing.py:348(increase_tracing_count)
     1212    0.009    0.000    0.132    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\color.py:650(update)
     1802    0.030    0.000    0.131    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\scipy\stats\_distn_infrastructure.py:600(argsreduce)
191274/321    1.302    0.000    0.125    0.000 {method 'acquire' of '_thread.lock' objects}
   175446    0.089    0.000    0.119    0.000 C:\Python312\Lib\threading.py:302(__exit__)
